,request_type,request_uri,request_body,response_code,response_time_microseconds
0,GET,/petclinic/api/visits/1,"{""lastName"":[]",404,6072.0
1,POST,/petclinic/api/vets/1,"{""id"":{""fuzz"":false}",400,1736.0
2,POST,/petclinic/api/specialties/1,"{""id"":1,""name"":""fuzzstring2""",400,1312.0
3,POST,/petclinic/api/vets,"{""firstName"":[],""id"":0,""lastName"":""fuzzstring"",""specialties"":[{""id"":0,""name"":[]}]",400,2027.9999999999998
4,GET,/petclinic/api/vets,"{""firstName"":""fuzzstring"",""id"":0,""lastName"":""fuzzstring"",""specialties"":0",200,3924.0000000000005
5,POST,/petclinic/api/vets,"{""firstName"":""fuzzstring"",""id"":{""fuzz"":false}",400,2083.0
6,GET,/petclinic/api/visits,"{""id"":0,""name"":""fuzzstring""",200,3696.0
7,GET,/petclinic/api/vets/1,"{""firstName"":{""fuzz"":false}",404,3016.0
8,POST,/petclinic/api/visits,"{""pet"":[],""date"":""fuzzstring"",""description"":""fuzzstring"",""pet"":""fuzzstring""",400,1729.0
9,POST,/petclinic/api/vets/1,"{""firstName"":{""fuzz"":false},""id"":0,""lastName"":""fuzzstring"",""specialties"":[{""id"":0,""name"":""fuzzstring""}]",400,1416.0
10,POST,/petclinic/api/visits,"{""date"":""yyyy/MM/dd"",""description"":""fuzzstring2"",""id"":56,""pet"":{""id"":56,""name"":""fuzzstring2""}",400,1618.0
11,GET,/petclinic/api/specialties/1,"{""fuzz"":true",200,1957.0
12,POST,/petclinic/api/visits,"{""roles"":0",400,1892.0
13,POST,/petclinic/api/specialties/1,"{""name"":""fuzzstring""",400,1711.0
14,POST,/petclinic/api/specialties/1,"{""name"":false",400,1407.0
15,DELETE,/petclinic/api/vets/1,"{""firstName"":""fuzzstring"",""id"":0,""lastName"":0,""specialties"":[{""id"":0,""name"":""fuzzstring""}]",404,1841.0
16,POST,/petclinic/api/visits,"{""date"":""yyyy/MM/dd"",""description"":""test3"",""id"":6784,""pet"":{""fuzz"":false}",400,1687.0
17,GET,/petclinic/api/vets/1,"{""firstName"":""fuzzstring"",""id"":0,""lastName"":[],""specialties"":[{""name"":""fuzzstring""}]",404,2017.9999999999998
18,POST,/petclinic/api/specialties/1,"{""id"":56,""name"":""fuzzstring2""",400,1652.0
19,DELETE,/petclinic/api/vets/1,"{""id"":0,""name"":{""fuzz"":false}",404,2084.0
20,POST,/petclinic/api/vets/1,"{""firstName"":""fuzzstring"",""id"":0,""lastName"":{""fuzz"":false},""specialties"":[{""id"":0,""name"":""fuzzstring""}]",400,1578.0
21,POST,/petclinic/api/users,"{""enabled"":false,""password"":""0"",""roles"":[{""id"":false,""name"":""ROLE_0""}],""username"":""0""",400,1466.0
22,POST,/petclinic/api/users,"{""roles"":[{""name"":""ROLE_0""}],""username"":{""fuzz"":false}",400,1709.0
23,POST,/petclinic/api/vets,"{""id"":[],""firstName"":""fuzzstring"",""id"":0,""lastName"":""fuzzstring"",""specialties"":[{""id"":0}]",400,1687.0
24,DELETE,/petclinic/api/visits/1,"{""specialties"":[0]",404,2779.0
25,POST,/petclinic/health/1,"{""id"":0,""id"":0,""name"":""fuzzstring""",404,3504.0
26,POST,/petclinic/api/pets,"{""id"":56,""name"":""Unknown""",400,1713.0
27,GET,/petclinic/api/vets/1,"{""firstName"":{""fuzz"":false},""id"":0,""lastName"":""fuzzstring""",404,2140.0
28,POST,/petclinic/api/vets,"{""firstName"":""fuzzstring"",""firstName"":""fuzzstring"",""id"":0,""lastName"":""fuzzstring"",""specialties"":[{""id"":0,""name"":0}]",400,1676.0
29,GET,/petclinic/api/specialties/1,"{""id"":56,""name"":""fuzzstring""",200,2259.0
30,GET,/petclinic/api/specialties/1,"{""id"":false,""name"":0",200,2327.0
31,PUT,/petclinic/api/petid,"{""id"":6784,""name"":""test3""",404,2479.0
32,PUT,/petclinic/api/vets/1,"{""firstName"":[],""id"":0,""lastName"":""fuzzstring"",""specialties"":[{""id"":0,""name"":{""fuzz"":false}}]",400,1545.0
33,GET,/petclinic/api/vets/1,"{""firstName"":""fuzzstring"",""id"":0,""lastName"":{""fuzz"":false}",404,2129.0
34,POST,/petclinic/api/vets/1,"{""firstName"":false,""id"":0,""lastName"":""fuzzstring"",""specialties"":[{""id"":0}]",400,1717.0
35,POST,/petclinic/api/specialties/1,"{""id"":0,""name"":0",400,1374.0
36,PUT,/petclinic/api/pets/petid,"{""id"":6784,""name"":""Unknown""",400,1810.0
37,POST,/petclinic/api/vets/1,"{""id"":[]",400,1536.0
38,POST,/petclinic/api/vets/1,"{""id"":{""fuzz"":false},""name"":""fuzzstring""",400,1330.0
39,POST,/petclinic/api/vets,"{""firstName"":""fuzzstring"",""firstName"":""fuzzstring"",""id"":0,""lastName"":0,""specialties"":[{""id"":0,""name"":""fuzzstring""}]",400,1374.0
40,POST,/petclinic/api/visits,"{""id"":0,""name"":0",400,1909.0
41,GET,/petclinic/api/vets,"{""firstName"":""fuzzstring"",""id"":0,""lastName"":""fuzzstring"",""specialties"":[""fuzzstring""]",200,3304.0
