Delay,Code,Y
15000,302,1
0,302,1
0,302,1
11000,302,1
19000,302,1
24000,302,1
23000,302,1
19000,200,1
27000,200,1
13000,200,1
18000,404,1
21000,404,1
17000,200,1
19000,200,1
26000,200,1
15000,400,1
18000,400,1
31000,404,1
19000,404,1
18000,404,1
16000,404,1
13000,404,1
15000,404,1
20000,404,1
23000,404,1
15000,400,1
13000,400,1
22000,404,1
22000,404,1
21000,404,1
22000,404,1
12000,200,1
20000,400,1
14000,400,1
10000,200,1
22000,404,1
15000,404,1
12000,404,1
22000,404,1
20000,400,1
19000,400,1
14000,404,1
13000,404,1
13000,404,1
20000,404,1
16000,200,1
13000,201,1
22000,201,1
20000,201,1
11000,201,1
20000,201,1
0,400,1
12000,400,1
13000,400,1
21000,400,1
20000,400,1
21000,400,1
19000,400,1
20000,400,1
20000,400,1
20000,201,1
17000,400,1
13000,400,1
23000,400,1
21000,201,1
15000,400,1
10000,400,1
22000,400,1
20000,400,1
13000,400,1
21000,400,1
17000,400,1
19000,400,1
13000,400,1
21000,201,1
15000,201,1
13000,201,1
13000,201,1
19000,201,1
13000,201,1
21000,201,1
21000,201,1
19000,201,1
21000,201,1
21000,201,1
20000,201,1
18000,201,1
13000,201,1
13000,201,1
12000,200,1
12000,201,1
12000,201,1
20000,201,1
20000,201,1
21000,201,1
20000,400,1
20000,400,1
23000,400,1
20000,400,1
20000,400,1
20000,400,1
19000,400,1
19000,400,1
21000,400,1
19000,201,1
20000,400,1
20000,400,1
19000,400,1
11000,201,1
0,400,1
12000,400,1
11000,400,1
11000,400,1
20000,400,1
14000,400,1
19000,400,1
20000,400,1
19000,400,1
16000,201,1
24000,201,1
10000,201,1
13000,201,1
13000,201,1
19000,201,1
21000,201,1
21000,201,1
20000,201,1
12000,201,1
13000,201,1
12000,201,1
20000,201,1
21000,201,1
19000,201,1
21000,201,1
11000,201,1
14000,201,1
12000,201,1
21000,201,1
20000,201,1
21000,201,1
19000,201,1
20000,400,1
20000,400,1
10000,400,1
12000,400,1
13000,400,1
20000,201,1
20000,201,1
20000,400,1
9000,400,1
12000,400,1
13000,400,1
13000,400,1
20000,400,1
21000,400,1
20000,400,1
20000,400,1
20000,400,1
20000,400,1
10000,201,1
13000,400,1
13000,400,1
22000,400,1
22000,400,1
13000,400,1
13000,400,1
22000,400,1
21000,400,1
15000,400,1
25000,400,1
14000,400,1
11000,400,1
22000,400,1
23000,201,1
14000,400,1
23000,400,1
12000,400,1
14000,400,1
23000,400,1
13000,400,1
14000,201,1
22000,400,1
29000,400,1
20000,400,1
14000,400,1
14000,400,1
16000,201,1
16000,400,1
22000,201,1
14000,400,1
22000,201,1
18000,400,1
15000,201,1
17000,400,1
18000,201,1
18000,400,1
19000,400,1
18000,201,1
17000,400,1
25000,201,1
24000,201,1
22000,400,1
20000,201,1
18000,400,1
17000,201,1
16000,201,1
15000,201,1
17000,201,1
16000,201,1
17000,201,1
16000,400,1
16000,400,1
19000,400,1
21000,400,1
19000,400,1
19000,400,1
18000,400,1
16000,400,1
15000,400,1
13000,400,1
11000,400,1
25000,400,1
25000,400,1
23000,400,1
17000,400,1
17000,400,1
16000,400,1
16000,400,1
17000,400,1
18000,400,1
15000,400,1
17000,400,1
17000,400,1
15000,400,1
17000,400,1
16000,400,1
17000,400,1
17000,400,1
18000,400,1
19000,400,1
16000,400,1
16000,400,1
15000,400,1
0,400,1
15000,400,1
15000,201,1
18000,201,1
19000,201,1
19000,201,1
18000,201,1
17000,201,1
18000,201,1
16000,201,1
16000,201,1
16000,201,1
16000,201,1
15000,201,1
16000,201,1
19000,201,1
17000,201,1
16000,201,1
22000,201,1
20000,201,1
19000,201,1
19000,200,1
14000,201,1
20000,400,1
14000,400,1
21000,400,1
18000,400,1
14000,400,1
27000,400,1
22000,400,1
13000,400,1
14000,400,1
15000,400,1
15000,400,1
27000,400,1
25000,400,1
24000,400,1
24000,400,1
22000,400,1
16000,400,1
17000,400,1
17000,400,1
15000,400,1
24000,400,1
25000,400,1
14000,400,1
13000,400,1
14000,400,1
0,400,1
15000,400,1
15000,400,1
15000,400,1
13000,400,1
17000,400,1
30000,400,1
14000,400,1
22000,400,1
19000,400,1
14000,400,1
16000,400,1
14000,400,1
20000,400,1
18000,400,1
27000,400,1
22000,400,1
17000,400,1
14000,400,1
13000,400,1
21000,400,1
29000,400,1
15000,400,1
21000,400,1
13000,400,1
18000,400,1
23000,400,1
20000,400,1
23000,400,1
12000,400,1
21000,400,1
21000,400,1
25000,400,1
38000,400,1
15000,400,1
13000,400,1
21000,400,1
17000,400,1
25000,400,1
12000,400,1
12000,400,1
19000,400,1
20000,400,1
19000,400,1
18000,400,1
20000,400,1
