Time,Delay
00:00:00,15000
00:00:10,0
00:00:20,0
00:00:30,11000
00:00:40,19000
00:00:50,24000
00:01:00,23000
00:01:10,19000
00:01:20,27000
00:01:30,13000
00:01:40,18000
00:01:50,21000
00:02:00,17000
00:02:10,19000
00:02:20,26000
00:02:30,15000
00:02:40,18000
00:02:50,31000
00:03:00,19000
00:03:10,18000
00:03:20,16000
00:03:30,13000
00:03:40,15000
00:03:50,20000
00:04:00,23000
00:04:10,15000
00:04:20,13000
00:04:30,22000
00:04:40,22000
00:04:50,21000
00:05:00,22000
00:05:10,12000
00:05:20,20000
00:05:30,14000
00:05:40,10000
00:05:50,22000
00:06:00,15000
00:06:10,12000
00:06:20,22000
00:06:30,20000
00:06:40,19000
00:06:50,14000
00:07:00,13000
00:07:10,13000
00:07:20,20000
00:07:30,16000
00:07:40,13000
00:07:50,22000
00:08:00,20000
00:08:10,11000
00:08:20,20000
00:08:30,0
00:08:40,12000
00:08:50,13000
00:09:00,21000
00:09:10,20000
00:09:20,21000
00:09:30,19000
00:09:40,20000
00:09:50,20000
00:10:00,20000
00:10:10,17000
00:10:20,13000
00:10:30,23000
00:10:40,21000
00:10:50,15000
00:11:00,10000
00:11:10,22000
00:11:20,20000
00:11:30,13000
00:11:40,21000
00:11:50,17000
00:12:00,19000
00:12:10,13000
00:12:20,21000
00:12:30,15000
00:12:40,13000
00:12:50,13000
00:13:00,19000
00:13:10,13000
00:13:20,21000
00:13:30,21000
00:13:40,19000
00:13:50,21000
00:14:00,21000
00:14:10,20000
00:14:20,18000
00:14:30,13000
00:14:40,13000
00:14:50,12000
00:15:00,12000
00:15:10,12000
00:15:20,20000
00:15:30,20000
00:15:40,21000
00:15:50,20000
00:16:00,20000
00:16:10,23000
00:16:20,20000
00:16:30,20000
00:16:40,20000
00:16:50,19000
00:17:00,19000
00:17:10,21000
00:17:20,19000
00:17:30,20000
00:17:40,20000
00:17:50,19000
00:18:00,11000
00:18:10,0
00:18:20,12000
00:18:30,11000
00:18:40,11000
00:18:50,20000
00:19:00,14000
00:19:10,19000
00:19:20,20000
00:19:30,19000
00:19:40,16000
00:19:50,24000
00:20:00,10000
00:20:10,13000
00:20:20,13000
00:20:30,19000
00:20:40,21000
00:20:50,21000
00:21:00,20000
00:21:10,12000
00:21:20,13000
00:21:30,12000
00:21:40,20000
00:21:50,21000
00:22:00,19000
00:22:10,21000
00:22:20,11000
00:22:30,14000
00:22:40,12000
00:22:50,21000
00:23:00,20000
00:23:10,21000
00:23:20,19000
00:23:30,20000
00:23:40,20000
00:23:50,10000
00:24:00,12000
00:24:10,13000
00:24:20,20000
00:24:30,20000
00:24:40,20000
00:24:50,9000
00:25:00,12000
00:25:10,13000
00:25:20,13000
00:25:30,20000
00:25:40,21000
00:25:50,20000
00:26:00,20000
00:26:10,20000
00:26:20,20000
00:26:30,10000
00:26:40,13000
00:26:50,13000
00:27:00,22000
00:27:10,22000
00:27:20,13000
00:27:30,13000
00:27:40,22000
00:27:50,21000
00:28:00,15000
00:28:10,25000
00:28:20,14000
00:28:30,11000
00:28:40,22000
00:28:50,23000
00:29:00,14000
00:29:10,23000
00:29:20,12000
00:29:30,14000
00:29:40,23000
00:29:50,13000
00:30:00,14000
00:30:10,22000
00:30:20,29000
00:30:30,20000
00:30:40,14000
00:30:50,14000
00:31:00,16000
00:31:10,16000
00:31:20,22000
00:31:30,14000
00:31:40,22000
00:31:50,18000
00:32:00,15000
00:32:10,17000
00:32:20,18000
00:32:30,18000
00:32:40,19000
00:32:50,18000
00:33:00,17000
00:33:10,25000
00:33:20,24000
00:33:30,22000
00:33:40,20000
00:33:50,18000
00:34:00,17000
00:34:10,16000
00:34:20,15000
00:34:30,17000
00:34:40,16000
00:34:50,17000
00:35:00,16000
00:35:10,16000
00:35:20,19000
00:35:30,21000
00:35:40,19000
00:35:50,19000
00:36:00,18000
00:36:10,16000
00:36:20,15000
00:36:30,13000
00:36:40,11000
00:36:50,25000
00:37:00,25000
00:37:10,23000
00:37:20,17000
00:37:30,17000
00:37:40,16000
00:37:50,16000
00:38:00,17000
00:38:10,18000
00:38:20,15000
00:38:30,17000
00:38:40,17000
00:38:50,15000
00:39:00,17000
00:39:10,16000
00:39:20,17000
00:39:30,17000
00:39:40,18000
00:39:50,19000
00:40:00,16000
00:40:10,16000
00:40:20,15000
00:40:30,0
00:40:40,15000
00:40:50,15000
00:41:00,18000
00:41:10,19000
00:41:20,19000
00:41:30,18000
00:41:40,17000
00:41:50,18000
00:42:00,16000
00:42:10,16000
00:42:20,16000
00:42:30,16000
00:42:40,15000
00:42:50,16000
00:43:00,19000
00:43:10,17000
00:43:20,16000
00:43:30,22000
00:43:40,20000
00:43:50,19000
00:44:00,19000
00:44:10,14000
00:44:20,20000
00:44:30,14000
00:44:40,21000
00:44:50,18000
00:45:00,14000
00:45:10,27000
00:45:20,22000
00:45:30,13000
00:45:40,14000
00:45:50,15000
00:46:00,15000
00:46:10,27000
00:46:20,25000
00:46:30,24000
00:46:40,24000
00:46:50,22000
00:47:00,16000
00:47:10,17000
00:47:20,17000
00:47:30,15000
00:47:40,24000
00:47:50,25000
00:48:00,14000
00:48:10,13000
00:48:20,14000
00:48:30,0
00:48:40,15000
00:48:50,15000
00:49:00,15000
00:49:10,13000
00:49:20,17000
00:49:30,30000
00:49:40,14000
00:49:50,22000
00:50:00,19000
00:50:10,14000
00:50:20,16000
00:50:30,14000
00:50:40,20000
00:50:50,18000
00:51:00,27000
00:51:10,22000
00:51:20,17000
00:51:30,14000
00:51:40,13000
00:51:50,21000
00:52:00,29000
00:52:10,15000
00:52:20,21000
00:52:30,13000
00:52:40,18000
00:52:50,23000
00:53:00,20000
00:53:10,23000
00:53:20,12000
00:53:30,21000
00:53:40,21000
00:53:50,25000
00:54:00,38000
00:54:10,15000
00:54:20,13000
00:54:30,21000
00:54:40,17000
00:54:50,25000
00:55:00,12000
00:55:10,12000
00:55:20,19000
00:55:30,20000
00:55:40,19000
00:55:50,18000
00:56:00,20000
00:56:10,19000
00:56:20,19000
00:56:30,20000
00:56:40,19000
00:56:50,10000
00:57:00,12000
00:57:10,12000
00:57:20,12000
00:57:30,20000
00:57:40,15000
00:57:50,17000
00:58:00,20000
00:58:10,20000
00:58:20,20000
00:58:30,19000
00:58:40,21000
00:58:50,19000
00:59:00,22000
00:59:10,20000
00:59:20,25000
00:59:30,19000
00:59:40,14000
00:59:50,12000
01:00:00,25000
01:00:10,22000
01:00:20,15000
01:00:30,12000
01:00:40,17000
01:00:50,10000
01:01:00,13000
01:01:10,14000
01:01:20,24000
01:01:30,12000
01:01:40,19000
01:01:50,18000
01:02:00,14000
01:02:10,13000
01:02:20,23000
01:02:30,20000
01:02:40,12000
01:02:50,22000
01:03:00,25000
01:03:10,22000
01:03:20,0
01:03:30,23000
01:03:40,12000
01:03:50,12000
01:04:00,13000
01:04:10,13000
01:04:20,20000
01:04:30,14000
01:04:40,20000
01:04:50,23000
01:05:00,16000
01:05:10,25000
01:05:20,13000
01:05:30,13000
01:05:40,20000
01:05:50,24000
01:06:00,15000
01:06:10,23000
01:06:20,15000
01:06:30,26000
01:06:40,19000
01:06:50,12000
01:07:00,11000
01:07:10,14000
01:07:20,23000
01:07:30,16000
01:07:40,13000
01:07:50,22000
01:08:00,23000
01:08:10,23000
01:08:20,21000
01:08:30,23000
01:08:40,21000
01:08:50,13000
01:09:00,13000
01:09:10,27000
01:09:20,12000
01:09:30,26000
01:09:40,13000
01:09:50,12000
01:10:00,12000
01:10:10,20000
01:10:20,20000
01:10:30,20000
01:10:40,15000
01:10:50,20000
01:11:00,20000
01:11:10,20000
01:11:20,20000
01:11:30,20000
01:11:40,10000
01:11:50,12000
01:12:00,12000
01:12:10,14000
01:12:20,14000
01:12:30,19000
01:12:40,20000
01:12:50,19000
01:13:00,20000
01:13:10,20000
01:13:20,19000
01:13:30,19000
01:13:40,13000
01:13:50,12000
01:14:00,13000
01:14:10,19000
01:14:20,20000
01:14:30,23000
